FECHA,n1,n2,n3,n4,n5,n6,COMP.,R.,JOKER
20/11/2021,03,20,26,33,42,44,15,0,8691788
18/11/2021,12,15,22,27,28,43,23,5,2093268
13/11/2021,04,19,34,38,43,48,22,4,0393678
11/11/2021,14,27,37,43,46,49,34,9,9539221
6/11/2021,01,02,05,26,33,49,31,3,2897053
4/11/2021,22,24,25,31,45,47,44,5,5760867
30/10/2021,06,13,29,37,38,45,14,5,8175938
28/10/2021,05,08,15,17,34,45,27,8,5078787
23/10/2021,01,03,12,15,29,47,37,0,0878641
21/10/2021,09,10,18,20,30,46,26,1,2164705
16/10/2021,06,10,21,42,43,47,01,3,2851522
14/10/2021,04,08,19,21,24,33,02,3,0495790
9/10/2021,06,14,18,29,45,46,38,6,4616797
7/10/2021,03,14,24,34,41,46,19,9,4402040
2/10/2021,10,21,25,33,42,43,14,2,4947737
30/09/2021,02,10,14,23,36,44,18,5,9295531
25/09/2021,10,14,23,38,42,48,13,0,3365416
23/09/2021,12,20,23,27,29,42,21,5,9296791
18/09/2021,03,28,31,34,43,46,17,2,4245337
16/09/2021,04,13,14,19,41,44,17,2,2591775
11/09/2021,03,07,12,22,24,39,29,7,3252151
9/09/2021,07,24,30,39,44,48,04,2,2053411
4/09/2021,02,04,08,23,33,44,45,4,3644143
2/09/2021,10,17,22,26,29,49,14,9,9920756
28/08/2021,04,10,15,16,34,49,44,3,5878658
26/08/2021,02,03,18,30,35,47,21,7,1852989
21/08/2021,01,04,05,14,19,45,25,1,1613223
19/08/2021,04,13,18,28,33,40,02,1,3596115
14/08/2021,16,19,26,31,33,40,30,0,5164172
12/08/2021,20,27,35,36,41,42,11,9,1115113
7/08/2021,02,03,15,22,36,40,13,9,0994745
5/08/2021,03,11,19,30,33,35,49,0,8583659
31/07/2021,06,11,17,25,30,43,40,7,2193984
29/07/2021,12,24,32,33,36,45,10,5,7552610
24/07/2021,11,26,31,32,43,45,19,1,0596326
22/07/2021,06,07,12,27,28,41,40,5,4617639
17/07/2021,01,05,14,26,27,29,43,1,7014302
15/07/2021,05,19,23,34,36,37,29,7,9246899
10/07/2021,15,20,21,25,32,42,10,3,7446750
8/07/2021,02,05,16,21,34,35,31,0,0295212
3/07/2021,05,10,18,19,34,35,17,5,8884516
1/07/2021,01,02,06,22,29,34,08,8,1902021
26/06/2021,01,04,22,35,39,40,34,0,8361203
24/06/2021,01,09,12,26,28,34,25,0,2907556
19/06/2021,08,15,19,29,38,48,37,1,5449161
17/06/2021,08,15,21,25,37,42,44,3,1839786
12/06/2021,01,19,23,31,38,48,40,3,0092538
10/06/2021,02,19,26,29,41,42,45,4,0048800
5/06/2021,01,25,26,28,34,45,49,1,3360866
3/06/2021,01,02,09,19,30,49,16,8,5709831
29/05/2021,06,07,19,21,31,42,10,0,0189757
27/05/2021,12,14,37,39,41,47,06,9,6302415
22/05/2021,17,19,24,33,41,46,06,7,6872546
20/05/2021,02,13,15,17,32,40,28,6,0680319
15/05/2021,03,08,19,20,44,45,17,3,7814438
13/05/2021,03,14,23,29,35,48,06,8,4409818
